,Unnamed: 0,arrest_id_x,person_id,age_at_arrest,sex,race,arrest_date_univ,arrest_id_y,charge_degree,offense_category,arrest_date_event,y,current_charge_felony,fel_arrests_last_year,num_fel_arrests_last_year,pred_lr,train_dt
0,3855,3234875,342986,50.80821917808219,M,Black,2018-08-02,8324547,felony,violent,2015-05-22,1,1,True,True,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
1,4985,7157820,1055158,36.14520547945205,M,White,2016-05-06,7157820,misdemeanor,violent,2016-05-06,0,0,False,False,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
2,1849,4552038,60332,25.438356164383563,M,Black,2018-01-05,6796345,felony,other,2016-07-29,1,1,True,True,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
3,4518,4973877,910635,61.016438356164386,M,Black,2017-10-22,9380166,misdemeanor,other,2014-06-02,0,0,False,False,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
4,4005,6724161,451627,44.64109589041096,M,Black,2016-08-21,10560226,misdemeanor,violent,2013-05-05,0,0,False,False,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
5,2663,7591971,82277,30.315068493150687,M,Black,2016-01-06,6394544,felony,drug,2016-11-22,1,1,True,True,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
6,2092,7255033,69058,49.24931506849315,F,mixed,2016-04-10,11238732,felony,violent,2012-09-03,1,1,True,True,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
7,1819,3982258,58583,27.813698630136987,M,Black,2018-04-07,13657700,misdemeanor,other,2012-02-07,0,0,False,False,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
8,2635,3806430,81823,34.8986301369863,M,,2018-05-07,1767515,misdemeanor,property,2020-06-05,0,0,False,False,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
9,1606,7200043,55112,46.46849315068493,M,White,2016-04-23,11271102,misdemeanor,property,2012-08-22,0,0,False,False,0.9693251533742332,"GridSearchCV(cv=5, estimator=DecisionTreeClassifier(),
             param_grid={'max_depth': [2, 4, 6]})"
